Sampel,Referen (Truth),Prediksi (Zero-Shot)
Sampel 28,mako majlis umum mancanangkan deklarasi sadunia hak hak asasi manusia sabagai satu tolok ukua basamo untuak sadonyo urang dan sagalo banso,moko majelis umum mancanakan deklarasi sadunya haggak manusia sebagai satu tolok ukwa basamok untua kcedoyonurang dan sagalo bansol
Sampel 29,supayo tiok urang dan limbago dalam masyarakat sanantiaso mamparatikan deklarasi ko,supaya tiok orang dan limbago dalam masyarakat senantian so memparatikan deklarasi ko
Sampel 30,untuak manjamin pangakuan dan palaksanaannyo sacaro universal,untuk menjamin pahakuan dan palak sana anjo sajar o univer salah
Sampel 31,di antaro sasamo banso negara anggota sarato masyarakat dalam wilayah nan dikuasoinyo,di antara sama bansuan agara anggota sarato masyarakat dalam bilaya dan di kwasoinya
Sampel 32,malalui pandidikan dan pangajaran untuak manumbuahkan raso hormat taradok hak hak dan kamardekaan sapanjang maso,melalui pandidikan dan pengajaran untuk manumbuhkan raso hormat taradok hakkak dan rekamadekean sepanjang raso
Sampel 33,di tingkek nasional jo internasional,ditingkek national yo international
Sampel 34,pasal satu sadonyo manusia dilahiakan mardeka dan punyo martabat sarato hak hak nan samo,pasal c sadoyu manusia dilahiyakan mardeka nanti punya martabat carato hak hak nanti sama
Sampel 35,mareka dikaruniai aka jo hati nurani  supayo satu samo lain bagaul sarupo urang badunsanak,mereka di karunnya akan yuk hati nurani supaya satu sama lain bagaul sarupa orang badun sana
Sampel 36,pasal dua tiok urang punyo hak manikmati hak hak dan kamardekaan nan tacantum dalam deklarasi ko,pasal 2 tiak orang punya hock manik mati hakkak dan kamerdekaan dan tajantum dalam deklarasiko
Sampel 37,warno kulik jinih kalamin,kuala kulit jenik kalamin
Sampel 38,bahaso agamo politik atau pandangan lain,bahasa agama politik atau pandangan lain
Sampel 39,asa usua kabansoan atau tingkek sosial  kakayaan  kalahiran ataupun kadudukan lainnyo,asa usua kaban soan atau tinggak sosial kakayaan kalahiran atau pun kadudukan naiknya
Sampel 40,lain dari pado itu,lain dari podok itu
Sampel 41,kakuasaan hukum atau kadudukan internasional dari negara atau daerah asa sasaurang,kakua sehan hukum atau kadudukan internasional dari negara atau daerah asasasas orang
Sampel 42,pasal tiga tiok urang punyo hak untuak iduik  untuak mardeka  dan kasalamatan salaku manusia pribadi,pasal tiga tiag orang punya hak untuak iduik untuak mardeka dan keselamatan salahku manusia pribadi
Sampel 43,pasal empat indak surang pun buliah dipabudak atau disuruah karajo rodi,pasal ampah indak surang pun bulia di pabudak atau di suruh karajorodi
Sampel 44,mampabudak dan mampadagangkan budak dalam sagalo bantuak musti dilarang,mempah budak dan mempahdagangan budak dalam segala bantuan mesti di larang
Sampel 45,pasal lima indak surang pun buliah dianiayo atau dizalimi,di jalan
Sampel 46,atau dihukum sacaro kajam  tidak bakamanusiaan atau dihino,atau di hukum sacara kajam tidak bakal manusiaan atau dihinol
Sampel 47,pasal enam di ma sajo barado,di masa jauh baradot
Sampel 48,tiok urang punyo hak untuak dapek parlakuan sabagai manusia di hadapan hukum,di atiok orang punya hak untuk waktap perlakuan sebagai manusia dihadapan hukum
Sampel 49,dan karano tu punyo hak nan indak bakacuali untuk mandapek linduangan hukum nan samo,dan karena untuk punya hak nandak bakacuali untuk mendapat lindungan pokom dan samos
Sampel 50,sakalian urang punyo hak mandapek linduangan nan samo taradok sagalo pambedaan nan batantangan jo deklarasi ko,saka kalian orang punya hak mandap pake lindungan dan sama taradok segala pembedaan dan batan tangan jo deklarasiko
Sampel 51,dan taradok sagalo ancaman nan mangarah pado pambedaan samacam itu,dan teladok segala ancaman dan mengarah pada pambedahan samasama
Sampel 52,pasal delapan tiok urang punyo hak mandapek ganti rugi nyato malalui paradilan nasional nan bawenang dari tindakan urang lain nan malangga hak hak dasar nan dimilikinyo sasuai jo undang undang dasar atau hukum,pasal salapan tiok orang punya hak mandepak cantirug di nyatuh melalui paradilan nasional dan bauenang dari tindakan orang lain dan malangga hakhak desar dan dimilikinus sasuai yau undangundang desar atau hukum
Sampel 53,dalam mampatahankan hak dan kawajibannyo  sarato dalam tiok tuntutan pidana nan didakwakan ka inyo,dalam mempahdakan hak dan kawajibannya serato dalam tiuk tunutan pidana dan didakwakan kaya inyo
Sampel 54,pasal sebelas tiok urang nan didakwa malakukan palanggaran pidana punyo hak dianggap tak basalah sampai inyo tabukti basalah sacaro hukum dalam paradilan umum,di atas kebukaan
Sampel 55,dan inyo mandapek sagalo jaminan nan paralu untuak mambela diri,dan ini mandapak segala jaminan dan parah lu untuk membelah diri
Sampel 56,indak surang pun dapek dianggap basalah malakukan tindakan pidana nan disababkan malakukan atau tidak malakukan sasuatu,indak surang pun dapat ke dianggap basalah malah kukan tindakan pidana dan disabapkan malah kukan atau tidak malah kukan sesuatu
Sampel 57,baitu pulo indak buliah mahukum labiah barek dari katantuan hukum nan balaku katiko palanggaran pidana itu dilakukan,baito pulak indak buli mahu kum labia barik dari katantuan hukum nambalaku ketika palanggaran pidana itu dilakukan
Sampel 58,pasal dua belas indak surang pun buliah diganggu hak pribadinyo,pasal dua balas indak surang pun boleh digangguh hak pribadi nyok
Sampel 59,kaluarga  rumah tanggo atau surek manyureknyo  pargaulannyo,ke luargar rumah tanggo atau surek manjurek nyok pergauan nyok
Sampel 60,baitu pulo kahormatan jo namo baiaknyo,baik itu puluh kahormatan nyok namu baik nyok
Sampel 61,tiok urang punyo hak mandapek linduangan hukum taradok gangguan atau palanggaran saroman ko,diok orang punya hak mandapak lindungan hukum taradok gangguan atau palanggaran saruman ko
Sampel 62,pasal tiga belas tiok urang punyo hak taradok kamardekaan marantau dan punyo kadiaman di dalam bateh wilayah tiok negara,pasal tigo balos tiok orang punya hak taradok kemar dekaan maran tau dan punya kadamayan di dalam batih vilaya tiok negara
Sampel 63,tiok urang punyo hak untuak ka lua dari suatu negara   tamasuak negaranyo surang,di sini di sini di sini di sini di sini di sini di sini di sini di sini di sini di sini di sini di sini di sini di sini di sini di sini di sini di sini di sini di sini di sini di sini di sini di sini di sini di sini di sini di sini di sini di sini di sini di sini di sini di sini di sini di sini di sini di sini di sini di sini di sini di sini di sini di sini di sini di sini di sini di sini di sini di sini di sini di sini di sini di sini di sini di sini di sini di sini di sini di sini di sini di sini di sini di sini di sini di sini di sini di sini di sini di sini di sini di sini di sini di sini di sini di sini di sini di sini di sini di sini di sini di sini di sini di sini di sini di sini di sini di sini di sini di sini di sini di sini di sini di sini di sini di sini di sini di sini di sini di sini di sini di sini di sini di sini di sini di sini di sini di sini di sini di sini di sini di sini di sini di sini di sini di sini di sini di sini di sini di sini di sini di sini di sini di sini di sini di sini di sini di sini di sini di sini di sini di sini di sini di sini di sini di sini di sini di sini di sini di sini di sini di sini di sini di sini di sini di sini di sini
Sampel 64,dan baliak lai ka negaranyo,dan beli lagi ke nagaranya
Sampel 65,hak ko indak balaku untuak dakwaan kajahatan non politik,hakko indak balaku untuk dakuahan kajahatan nonpolitik
Sampel 66,atau karano tindakan nan batantangan jo tujuan dan asas asas perserikatan bangsa bangsa,atau karena tindakan batan tangan yuk tujuan dan asasasas per serikatan bangsabangsa
Sampel 67,pasal lima belas tiok urang punyo hak mamiliki kawarga negaraan,pasal limo balos cee tio orang punya hak mamiliki kawarga nagaraan
Sampel 68,indak surang pun buliah dicabuik kawarga negaraannyo atau ditulak haknyo untuak manuka kawarga negaraan,indak surang pun beli ya di cabuik kawarga negara nya atau ditulak haknya untuk manuka kawarga negaraan
Sampel 69,pasal enam belas laki laki jo padusi nan akil baligh,pasal anam balos jay lakilaki yo padusinan akil balik
Sampel 70,apopun ras  banso  atau agamonyo  punyo hak manikah dan bakaluarga,apapun ras banso atau agamonio punya hak manika nann bakal luarga
Sampel 71,mareka punyo hak nan samo dalam urusan kawin mawin  baiak di maso parkawinan atau katiko carai,mereka punya haknan sama dalam urusan kawin mawin bayak di masa perkawinan atau katiko carai
Sampel 72,parkawinan hanyo dapek dilakukan badasar piliahan bebas dan pasatujuan panuah pasangan nan basangkutan,perkauinan hanya dapat dilakukan badasar pilihan bebas dan pasa tujuan panwa pasangan dan basang kutan
Sampel 73,kaluarga adolah kalompok alamiah dan mandasar dari masyarakat,dan mandasar dari masyarakat
Sampel 74,punyo hak mandapek linduangan masyarakat jo negara,punya hak mandapak limdu dengan masyarakat yo nagara
Sampel 75,pasal tujuh belas tiok urang punyo hak mamiliki harato surang  baitu pulo basamo samo jo urang lain,pasal 7 balos tiak orang punya cia tiak orang punya hak mamiliki harato surang bayi to puluh basamos sama yo orang lain
Sampel 76,indak satu urang pun buliah dirampok haratonyo sacaro sawenang wenang,1 orang pun buliah di rampuk hartonya secara saue nang
Sampel 77,pasal delapan belas tiok urang punyo hak kamardekaan untuak bapikia,dikasih di bawah
Sampel 78,dan punyo kamardekaan untuak manyatokan agamo atau kaparcayaannyo malalui ajaran,dan punya kamerdekaan untuk menyebutkan agama atau kapasai anjo melalui ajaran
Sampel 79,amalan pamujaan dan ibadat  baiak surang atau dalam kalompok  di tampek umum ataupun sacaro pribadi,amalan pemujahan dan ibadat baik surang atau dalam kelompok ditampak umum atau pun secara pribadi
Sampel 80,pasal sembilan belas tiok urang punyo hak taradok kamardekaan bapandapek dan mangamukokan pandapeknyo,pasal sambilan balos tiap orang punya hak tarado kemardekan bapan dapet dan mengamuk kokan penda peknya
Sampel 81,tamasuak kabebasan untuak mampatahankan pandapek   jan ditakan,di tempat kebabaan untuk mempatahkan pandepikan ditakkan
Sampel 82,dan untuak mancari,dan untuk mencari
Sampel 83,manarimo dan manyampaikan barito dan buah pikiran malalui media apopun nan indak diampang ampang dek bateh negara,manori moh dan menyampaikan baritoh buat dikiran oleh media apapun tidak diampangampang dek batih negara
Sampel 84,pasal dua puluh tiok urang punyo hak untuk kamardekaan bakumpua dan basyarikat sacaro damai,pasal 20c tio orang punya hak untuk kamerdekaan bakum puah dan basuari ket secara damai
Sampel 85,indak surang pun buliah dipaso masuak suatu parkumpulan,indah surang pun boleh di pasok masuk suatu perkumpulan
Sampel 86,pasal dua puluh satu tiok urang punyo hak untuak sato dalam pamarintahan di negaranyo,di negara
Sampel 87,lansuang atau malalui wakia wakia nan dipiliah sacaro bebas,lansuang atau malah luih wakia wakianan dipilihnya secara bebas
Sampel 88,kandak ko musti dinyatokan dalam pamiliahan umum nan diadokan sacaro barkala dan murni jo hak piliah nan basifat umum dan sadarajat,kanda kamu mesti dinyatokin dalam pemilihan umum dan diadakan secara barkalanan murni yo hak pilihanan basifat umum dan sadarajat
Sampel 89,sarato pamungutan suaro sacaro rasio atau pakai caro lain nan samo samo manjamin kabebasan manantukan piliahan,saratu pambungutan suarok sacaro rasio atau pakai carol lain dan samasama manjamin kebebasan manuntukan pilihan
Sampel 90,pasal dua puluh dua sabagai anggota masyarakat,pasal dua puluh dua sabagain yang gotat mesyarakat
Sampel 91,sosial jo budaya,sosial juga mudaya
Sampel 92,nan mutlak paralu untuak martabat dan parkambangan bebas dari pribadinyo,dan mutlak para lu untuk kuntuk martabat dan perkambangan bebas dari pribadi nyolah
Sampel 93,malalui usaho usaho nasional dan karajo samo internasional,melali usahausaha nasional dan karajau sama internasional
Sampel 94,sesuai jo pangaturan sarato sumber sumber kakayaan di tiok negara,sesuai pangaturan sarato sumbersumber kakayaan di tiok nagara
Sampel 95,pasal dua puluh tiga tiok urang punyo hak mandapek karajo,pasal 23 jiet tiwa orang puyuhak mendapat karajok
Sampel 96,bebas mamiliah jinih karajo,bebas mamilia jenih karajo
Sampel 97,punyo hak taradok syarat syarat karajo nan adil dan pantas,punyo hak taradok syaratsharat kerajonan adil dan pantas
Sampel 98,tiok urang   indak bakacuali  punyo hak dapek upah samo untuak karajo nansamo,yok orang indah bakal cuali punya hak dapat upoh sama untuk karajah dan sama
Sampel 99,tiok urang nan bakarajo punyo hak dapek upah nan adil dan pantas untuak manjamin iduiknyo surang dan kaluarga,tio orang nann bakar jo punya hak dapak upah nann adil nann pantas untuk manjamin idwig nyok surang dan kaluarga
Sampel 100,nan sasuai jo martabatnyo salaku manusia  dan jiko paralu ditambah jo linduangan sosial lainnyo,dan sesuai yo martabat yo salahku manusia dan jikoh paralu ditambah yo lindungan sosial lainnya
Sampel 101,tiok urang punyo hak mandirikan dan masuak syarikat syarikat karajo untuak malinduangi kapantiangannyo,di awal yang berkaitan dan diberikan ke raja untuk melindungi ke pantingannya
Sampel 102,pasal dua puluh empat tiok urang punyo hak untuak baistirahat dan liburan,pasal 20 ampeh tiok orang punya hak untuk baik tirahat dan liburantin
Sampel 103,dan tatap dapek upah di hari perai atau katiko cuti,dan tetap dapat upa di hari pria atau kati ko tutup
Sampel 104,pasal dua puluh lima tiok urang punyo hak taradok taraf iduik nan manjamin kasehatan dan kasajahteraan diri jo kaluarga,pasal 205 cee tiap orang punya hak tarah doktor av iduik nant manjamin kasihatan dan kas sejatraan diri yo kaluarga
Sampel 105,tamasuak makanan,tama suak makan dan
Sampel 106,pakaian sarato palayanan sosial nan paralu,pakayan saratu palaianan sosial dan para lu
Sampel 107,dan punyo hak jaminan katiko manganggur,dan punya hak jaminan kati ko menganggur
Sampel 108,sakik  cacat  marando  maso tuo  atau kailangan nafkah sabagai akibat hal hal nan di lua kamauannyo,saktik cacat marando masalah tuat atau kailangan nabukah sebagai akipat halhal dan di luar kemuan
Sampel 109,kaum ibu jo anak anak punyo hak mandapek linduangan dan bantuan khusus,kau ibu iya anakanak punya hak mandapak lindungan dan bantuan khusus
Sampel 110,sakalian anak,sakalian anak
Sampel 111,nan dilahiakan di dalam maupun di lua parkawinan  musti mandapek linduangan sosial nan samo,di dalam maupun di luar perkawanan mesti mandap pake lindungan sosial dan sama
Sampel 112,pasal dua puluh enam tiok urang punyo hak mandapek pandidikan,pasal 206 dia orang punya hak mandapak pandidikan
Sampel 113,pandidikan musti perai  paliang tidak tingkek sikola randah jo pandidikan dasar,pandidikan mesti perai pal yang tindak tingkek si kolah randa yo pandidikan dasar
Sampel 114,pandidikan kajuruan dan kaahlian musti tasadio untuak tiok urang,panditikan kajuruan dan keahlihan musti tasadio untuk tiok orang
Sampel 115,baitu pulo paguruan tinggi musti tasadio untuak tiok urang sasuai jo kamampuan,baik itu pulau panggung guran tinggi musti tasadi untuk diokoran sasua yuk kamu ampuan
Sampel 116,pandidikan andaknyo diarahkan untuak mangambangkan kapribadian sapanuah panuahnyo,di arahkan untuk pengambangan kapribadian 8 wah nyok
Sampel 117,dan untuak mampakokoh raso hormat taradok hak hak asasi manusia dan kamardekaan nan mandasar,dan untuk mempahkokkan rasol hormat taradok khakak asasi manusia dan kemerdekaan
Sampel 118,pandidikan diadokan untuak manggiatkan saliang mangarati,padi di kan diadoh kan untuk menggiatkan sali yang menggarati
Sampel 119,toleransi dan pasahabatan di antaro sagalo banso,dan habatan di antarok segala bansol
Sampel 120,kalompok ras,kalau puk ras
Sampel 121,sarato agamo,sarapa agama
Sampel 122,dan untuak manunjang kagiatan kagiatan perserikatan bangsa bangsa dalam mamaliaro pardamaian,dan untuk menunjung kagetankagetan per serikatan bangsabangsa dalam mamaliaro perdamayan
Sampel 123,para urang tuo sah punyo hak untuak mamiliah jinih pandidikan untuak anak anaknyo,para orang tiosa punya hak untuak mamilia jini pandi di kan untuak anakanaknya
Sampel 124,pasal dua puluh tujuh tiok urang punyo hak mardeka untuak sato dalam kahidupan kabudayaan masyarakat,pasal 207 tiag orang punyuhak mardeka untuk satu dalam kehidupan kebudayaan masyarakat
Sampel 125,baitu pulo untuak sato dalam mamajukan ilmu pangatahuan  dan mandapek manfaatnyo,baitu puluh untuk satu dalam memajukan ilmu pengatih huwan dan mandapak manfaatnya
Sampel 126,tiok urang punyo hak mandapek linduangan taradok kapantiangan moril jo materil bakaitan jo hasil karajo ilmiah,tiyok orang punya hak mendapat lindungan taradok kapan tiyangan moral yo material bakaitan yo hasil karajo ilmiya
Sampel 127,sastra atau kasenian nan diciptakannyo,sastra atau kassenian dan dicipp tak aneh
Sampel 128,pasal dua puluh sembilan tiok urang punyo kawajiban taradok masyarakat nan marupokan satu satunyo tampek kapribadiannyo dapek bakambang sacaro bebas dan sapanuah panuahnyo,di bawah
Sampel 129,bateh bateh dalam mawujudkan hak hak dan kabebasan tiok urang ko hanyo buliah ado jiko ditatapkan jo undang undang nan batujuan samato mato untuak manjamin diharagoi dan dihormatinyo hak hak dan kabebasan kabebasan urang lain,batihbatih dalam mengujut hakhak dan kabebasan tiap orang kohak hanya buli ya ado jika ditatapkan yuk undangundang nand batu juan sama tomatuh untuk menjamin di hargowi dan di hormatin yuk hakhak dan kabebasan kabebasan orang lain
Sampel 130,sasuai jo syarat syarat nan adil dari kasusilaan,sasua yo siaratsiarat nantadil dari kasus silahan
Sampel 131,katantraman dan kasajahteraan umum dalam suatu masyarakat nan demokratis,kata teraman dan kesejitraan umum dalam suatu masyarakat dan demokratis
Sampel 132,hak hak dan kabebasan kabebasan ko jan sakali kali dipagunokanuntuak tujuan nan balawanan jo prinsip prinsip perserikatan bangsa bangsa,saka dan kebebasan kebebasan ko yang sekalikali di pagunokan untuak tujuan dan balawanan yoprinciprinci perserikatan bangsabangsa
Sampel 133,pasal tiga puluh indak ciek pun pasal dari deklarasi ko buliah ditafsirkan sabagai manyatujui adonyo hak suatu negara,pasal 310 indak check pun pasal dari declarasi ko bulya ditaksirkan sebagai manya tujuhi adanya hak suatu negara
Sampel 134,kalompok atau sasaurang,kalau puk atau susah orang
Sampel 135,untuak malakukan kagiatan apopun,kemudian
Sampel 136,atau malakukan sasuatu nan batujuan marusak hak hak dan kabebasan kabebasan nan diuraikan dalam deklarasi ko,atau malah kukan sesuatu nann batu juan marusak hakak dan kebebasan kebebasan nann diuraitkan dalam deklasik kok
Sampel 137,katahui bana hak hak awak ko,kata hui bana hakak awak
Sampel 138,dan kabebasan dari raso takuik dan dari kakurangan,dan kabebasan dari raso takkwi dan dari kakurangan
Sampel 139,supayo manjadi kanyataan,supaya manjadi kanyataan
Sampel 140,indak ado pambedaan   umpamonyo pambedaan ras,indah ada pambedaan umpamon yuk pambedaan ras
Sampel 141,indak diadokan pambedaan badasar kadudukan politik,indak dia dokan pembedaan badas sar kadudukan politik
Sampel 142,baiak babantuak negara mardeka,baik iya baban tua negara madeka
Sampel 143,wilayah wilayah parwalian  jajahan atau bantuak katarbatasan kadaulatan nan lain,wilayah wilayah per walihan jajahan atau bantuak keterbatasan ke daulatan nenglain
Sampel 144,pasal tujuh sadonyo urang samo di hadapan hukum,asoel 7 sadoyanya orang sama dihadap pan hukum
Sampel 145,pasal sembilan indak surang pun buliah ditangkok  ditahan atau diasiangkan sacaro sawenang wenang,pasal sambilan indaksuram pun buli ya di tangkok di tahan atau di asyankan sacaro sawanangwanang
Sampel 146,pasal sepuluh tiok urang punyo hak nan samo mandapek paradilan nan adil dan tabuka di pangadilan nan bebas dan tak mamihak,di atas
Sampel 147,nan bukan tamasuak palanggaran hukum nasional atau internasional katiko paristiwa itu tajadi,dan bukan tamasuk palanggaran hukum nasional atau internasional ketika paris tiba itu tajadi
Sampel 148,pasal empat belas tiok urang punyo hak mancari dan manikmati suaka di negara lain untuak malinduangi diri dari panganiayoan  di negaranyo,pasal ampe balos cee tiak orang punya hak mancari dan manik mati suaka di negara lain untuk melindungi diri dari panggania on di negara nyok
Sampel 149,bahati nurani dan ba agamo  tamasuak hak batuka agamo atau kaparcayaan,bahati nurani nambah agamu termasuk hak bantukku agamu atau kapar cahayaan
Sampel 150,tiok urang punyo hak mandapek kasampatan nan samo untuak diangkek dalam jabatan pamarintahan negaranyo,tia orang punya ahak mandap pekasam patan nann sama untuk diangkak dalam jabatan pemerintahan negara nyok
Sampel 151,kandak rakyat musti manjadi landasan kakuasaan pamarintah,kandakkrakat musti menjadi landasan kekuasaan pemerintah
Sampel 152,tiok urang punyo hak mandapek jaminan sosial dan punyo hak pulo untuak talaksananyo hak hak ekonomi,tio orang puyohak mendapat jaminan sosial dan puyohak pulau untuk talak sanayohakhak ekonomi
Sampel 153,baitu pulo punyo hak mandapek linduangan katiko manganggur,itu puluh punya hak mendapat lindungan ketiko menganggur
Sampel 154,tamasuak pambatasan nan layak taradok jam karajo,tama suak pembatasan dan layak teradok jam karaju
Sampel 155,pandidikan dasar musti diwajibkan,di wajibkan
Sampel 156,pasal dua puluh delapan tiok urang punyo hak mandapek katartiban sosial dan katartiban internasional untuak mawujudkan saluruah hak hak dan kabebasan sasuai jo deklarasi ko,assal 20 dalapan jok urang punya hak mandapak kata rtban sosial dan kata rtban international untuk mau jutkan saluruh hak hak dan kebebasan sasuay yo deklarasi ko
